Before Midpoint	Midpoint	After Midpoint	Exemplars		
are_denounced_by	"beg_forgiveness_from, seek_forgiveness_from"	are_killed_by	villain:victim		
are_freed_by	"disappoint, spread_lies_about"	are_killed_by	survivor:liberator		
are_healed_by	"refuse_to_pay, withhold_payment_from"	are_killed_by	native:witch_doctor		
are_loved_by	betray	are_killed_by	beau:beauty		
are_protected_by	"disgust, condescend_to"	are_killed_by	celebrity:minder		
are_stalked_by	"disgust, disappoint"	are_killed_by	musician:groupie		
are_tortured_by	taunt	are_killed_by	underdog:tormentor		
are_impressed_by	praise	are_kissed_by	ringmaster:performer		
are_accused_by	"bribe, pay_off, beg_forgiveness_from"	are_lectured_by	defendant:accuser		
are_answered_by	condescend_to	are_lectured_by	discussant:respondent		
are_disqualified_by	"beg_forgiveness_from, seek_forgiveness_from"	are_lectured_by	nominee:nominator		
are_expelled_by	"beg_forgiveness_from, seek_forgiveness_from"	are_lectured_by	school_kid:schoolmaster		
are_mentored_by	seek_advice_from	are_lectured_by	intern:mentor		
are_worshipped_by	"disappoint, disgust, fail_to_deliver_for"	are_lectured_by	are_censured_by		
are_worshipped_by	"disappoint, disgust, fail_to_deliver_for"	are_lectured_by	master:imitator		
are_advised_by	cede_power_to	are_manipulated_by	apprentice:mentor		
are_attended_by	"trust, delegate_to"	are_manipulated_by	groom:groomsman		
are_brainwashed_by	"cede_power_to, obey"	are_manipulated_by	suicide_bomber:imam		
are_flattered_by	trust	are_manipulated_by	dupe:charmer		
are_healed_by	"look_up_to, show_loyalty_to"	are_manipulated_by	native:witch_doctor		
are_introduced_by	"trust, confide_in"	are_manipulated_by	initiate:adept		
are_lectured_by	"trust, look_up_to"	are_manipulated_by	hearer:lecturer		
are_recruited_by	"cede_power_to, bow_down_to, curry_favor_with"	are_manipulated_by	double_agent:rival		
are_rewarded_by	become_dependent_upon	are_manipulated_by	lackey:boss		
are_ruled_by	"worship, curry_favor_with"	are_manipulated_by	commoner:ruler		
are_seduced_by	"fall_in_love_with, sleep_with"	are_manipulated_by	maiden:swain		
are_trusted_by	underestimate	are_manipulated_by	puppeteer:puppet		
are_imitated_by	lead_astray	are_misrepresented_by	oppressor:dissident		
are_driven_by	lead_astray	are_mocked_by	king:charioteer		
are_encouraged_by	"fail_to_deliver_for, disappoint"	are_mocked_by	challenger:supporter		
are_kidnapped_by	"kiss_up_to, lick_up_to"	are_mocked_by	captive:abductor		
are_pitied_by	"rebuff, condescend_to"	are_mocked_by	defendant:judge		
are_raised_by	identify_with	are_molded_by	princess:queen		
are_supervised_by	"learn_from, look_up_to"	are_molded_by	juvenile:adult		
are_abducted_by	identify_with	are_moved_by	tormentor:martyr		
are_evaluated_by	"impress, suck_up_to, flatter, kiss_up_to"	are_nominated_by	applicant:referee		
are_interviewed_by	"lick_up_to, kiss_up_to, blackmail,  flatter"	are_nominated_by	applicant:referee		
are_deceived_by	threaten	are_obeyed_by	cop:suspect		
are_feared_by	"bully, dominate, oppress"	are_obeyed_by	conqueror:native		
are_resisted_by	"pay_off, bribe, blackmail"	are_obeyed_by	conqueror:native		
are_resisted_by	subjugate	are_obeyed_by	conqueror:native		
are_ruled_by	overthrow	are_obeyed_by	commoner:ruler		
are_imitated_by	"condescend_to, underestimate"	are_overthrown_by	oppressor:dissident		
are_abandoned_by	"cry_for, pine_for"	are_pitied_by	painter:muse		
are_expelled_by	"beg_forgiveness_from, seek_forgiveness_from"	are_pitied_by	school_kid:schoolmaster		
are_judged_by	"appeal_to, seek_forgiveness_from, beg_forgiveness_from"	are_pitied_by	defendant:judge		
are_persecuted_by	"appeal_to, obtain_sympathy_from"	are_pitied_by	captive:torturer		
are_recalled_by	"beg_forgiveness_from, seek_forgiveness_from"	are_pitied_by	ambassador:president		
are_sued_by	obtain_sympathy_from	are_pitied_by	defendant:plaintiff		
are_censured_by	"beg_forgiveness_from, seek_forgiveness_from"	are_promoted_by	prodigy:teacher		
are_criticized_by	"blackmail, pay_off"	are_promoted_by	theorist:critic		
are_fielded_by	"impress, deliver_for"	are_promoted_by	substitute:coach		
are_manipulated_by	stand_up_to	are_promoted_by	peon:boss		
are_taught_by	impress	are_promoted_by	apprentice:master		
are_trained_by	impress	are_promoted_by	competitor:coach		
are_underpaid_by	"impress, deliver_for"	are_promoted_by	underling:boss		
are_controlled_by	"disappoint, undermine, disagree_with"	are_punished_by	militant:theocrat		
are_rewarded_by	"fail_to_deliver_for, disappoint, fail_to_impress, spread_lies_about"	are_punished_by	gang_member:gang_lord		
are_abused_by	"run_away_from, escape_from, break_free_of"	are_pursued_by	detainee:abuser		
are_bored_by	"escape_from, break_free_of"	are_pursued_by	student:lecturer		
are_detained_by	"escape_from, break_free_of"	are_pursued_by	detainee:captor		
are_enslaved_by	"escape_from, break_free_of"	are_pursued_by	native:conqueror		
are_guarded_by	"escape_from, break_free_of"	are_pursued_by	captive:guard		
"are_detained_by, are_imprisoned_by, are_abducted_by"	"escape_from, break_free_of"	are_pursued_by	captive:abductor		
are_imprisoned_by	"escape_from, break_free_of"	are_pursued_by	convict:gaoler		
are_incarcerated_by	"escape_from, break_free_of"	are_pursued_by	convict:gaoler		
are_missed_by	write_to	are_pursued_by	absentee:workmate		
are_photographed_by	impress	are_pursued_by	bride:photographer		
are_released_by	"pine_for, spread_lies_about"	are_pursued_by	captive:pursuer		
"are_rejected_by, are_spurned_by"	pine_for	are_humiliated_by	slave:kidnapper		
are_coached_by	look_up_to	are_pushed_too_far_by	trainee:coach		
are_dominated_by	labor_for	are_pushed_too_far_by	peasant:overlord		
are_persecuted_by	harden_toward	are_pushed_too_far_by	captive:torturer		
are_rewarded_by	show_loyalty_to	are_pushed_too_far_by	minion:boss		
are_supervised_by	curry_favor_with	are_pushed_too_far_by	hostage:guard		
are_tormented_by	"appeal_to, appease"	are_pushed_too_far_by	victim:thug		
are_tortured_by	"resist, struggle_with"	are_pushed_too_far_by	hostage:torturer		
are_tutored_by	look_up_to	are_pushed_too_far_by	tutee:coach		
are_victimized_by	"appeal_to, appease, negotiate_with, resent"	are_pushed_too_far_by	victim:bully		
are_whipped_by	"bow_down_to, resent, beg_forgiveness_from"	are_pushed_too_far_by	slave:ruler		
are_abducted_by	"kiss_up_to, lick_up_to, suck_up_to"	are_rebuffed_by	captive:abductor		
are_attracted_by	"disgust, fail_to_impress"	are_rebuffed_by	buyer:marketer		
are_appointed_by	"disappoint, undermine, disagree_with, misrepresent, spread_lies_about"	are_recalled_by	ambassador:president		
are_banished_by	run_away_from	are_taunted_by	knight:king		
are_deployed_by	"fail_to_deliver_for, disappoint, fail_to_impress"	are_recalled_by	soldier:commander		
are_dispatched_by	"fail_to_deliver_for, disappoint, fail_to_impress"	are_recalled_by	courier:dispatcher		
are_dispatched_by	"disappoint, undermine, disagree_with, misrepresent, brief_against"	are_recalled_by	herald:king		
are_dumped_by	"stalk, spread_lies_about"	are_killed_by	ex:lover		
are_dumped_by	"stalk, spread_lies_about"	are_killed_by	ex:lover		
are_dumped_by	"obtain_sympathy_from, beg_forgiveness_from, seek_forgiveness_from"	are_recalled_by	ex:lover		
are_trusted_by	"misrepresent, lie_to, deceive"	are_recalled_by	consul:president		
are_fought_by	impress	are_recruited_by	devil:god		
are_blackmailed_by	pay_off	are_released_by	blackmailer:victim		
are_captured_by	"disgust, fail_to_impress"	are_released_by	captive:pursuer		
are_charged_by	testify_for	are_released_by	felon:prosecutor		
are_detained_by	sleep_with	are_released_by	detainee:captor		
are_owed_by	threaten	are_repaid_by	creditor:debtor		
are_worshipped_by	"abuse, terrorize, steal_from"	are_resisted_by	conqueror:native		
are_abused_by	stand_up_to	are_respected_by	underdog:bully		
are_beaten_by	escape_from	are_respected_by	hostage:guard		
are_booed_by	stand_up_to	are_respected_by	referee:fan		
are_ignored_by	stand_up_to	are_respected_by	photographer:fashion_designer		
are_intimidated_by	stand_up_to	are_respected_by	victim:terrorist		
are_mocked_by	stand_up_to	are_respected_by	wimp:bully		
are_oppressed_by	rise_against	are_respected_by	vassal:oppressor		
are_snatched_by	identify_with	are_respected_by	tormentor:martyr		
are_taunted_by	stand_up_to	are_respected_by	underdog:bully		
are_threatened_by	stand_up_to	are_respected_by	hostage:bank_robber		
are_appointed_by	show_loyalty_to	are_rewarded_by	ambassador:president		
are_dispatched_by	"impress, show_loyalty_to"	are_rewarded_by	herald:king		
are_hired_by	lie_for	are_rewarded_by	pollster:politician		
are_recruited_by	show_loyalty_to	are_rewarded_by	proselyte:guru		
are_blackmailed_by	refuse_to_pay	are_ruined_by	gangster:godfather		
are_attracted_by	"worship, fall_in_love_with"	are_ruled_by	acolyte:guru		
are_defeated_by	"cede_power_to,  bow_down_to"	are_ruled_by	commoner:ruler		
are_misrepresented_by	testify_against	are_savaged_by	firebrand:thug		
are_reviewed_by	"disappoint, condescend_to, fail_to_deliver_for"	are_savaged_by	chef:critic		
pray_for	"obtain_sympathy_from, are_pitied_by"	are_saved_by	victim:liberator		
are_escorted_by	flirt_with	are_seduced_by	president:bodyguard		
are_saved_by	"worship, pray_to, sacrifice_to"	are_shielded_by	captive:savior		
are_targeted_by	impress	are_shielded_by	target:assassin		
are_wanted_by	obtain_sympathy_from	are_shielded_by	outlaw:sheriff		
are_attracted_by	"trust, flirt_with, play_with"	are_snatched_by	hostage:abductor		
are_sought_by	"trust, talk_to, condescend_to"	are_snatched_by	detainee:abductor		
are_managed_by	"fail_to_deliver_for, disappoint, spread_lies_about"	"are_dismissed_by, are_fired_by, are_sued_by"	footballer:manager		
are_disillusioned_by	escape_from	are_sought_by	proselyte:guru		
are_deflowered_by	fall_in_love_with	are_spurned_by	lady:suitor		
are_dismissed_by	"stalk, spread_lies_about"	are_killed_by	ex:lover		
are_dismissed_by	spread_lies_about	are_sued_by	ex:lover		
are_dismissed_by	"beg_forgiveness_from, seek_forgiveness_from"	are_spurned_by	assistant:supervisor		
are_funded_by	"fail_to_deliver_for, disappoint, lie_to, steal_from"	are_spurned_by	inventor:backer		
are_healed_by	fall_in_love_with	are_spurned_by	native:witch_doctor		
are_helped_by	fall_in_love_with	are_spurned_by	invalid:caregiver		
are_painted_by	fall_in_love_with	are_spurned_by	model:painter		
are_photographed_by	fall_in_love_with	are_spurned_by	model:photographer		
are_admired_by	"flirt_with, sleep_with"	are_stalked_by	celebrity:admirer		
are_attracted_by	sleep_with	are_stalked_by	buyer:marketer		
are_monitored_by	"trust, confide_in"	are_stalked_by	child:minder		
are_read_by	"disagree_with, disappoint, identify_with, inspire"	are_stalked_by	author:reader		
are_attacked_by	"resist, fight_against, struggle_with"	are_subdued_by	native:conqueror		
are_exploited_by	"rise_against, turn_against"	are_subdued_by	native:conqueror		
are_defrauded_by	"punish, steal_from"	are_sued_by	dupe:knave		
are_ejected_by	spread_lies_about	are_sued_by	house_guest:homeowner		
are_financed_by	"disagree_with, argue_with, steal_from"	are_sued_by	champion:sponsor		
are_financed_by	"steal_from, lie_to, take_advantage_of, spread_lies_about"	are_sued_by	champion:sponsor		
are_fired_by	"threaten, intimidate"	are_sued_by	underling:boss		
are_guaranteed_by	"exploit, manipulate"	are_sued_by	investor:underwriter		
are_insured_by	deceive	are_sued_by	policyholder:underwriter		
are_mocked_by	"insult, humiliate"	are_sued_by	victim:bully		
are_offended_by	insult	are_sued_by	critic:discussant		
are_paid_by	"steal_from, lie_to, take_advantage_of, spread_lies_about"	are_sued_by	landlord:lessee		
are_supplied_by	refuse_to_pay	are_sued_by	dealer:wholesaler		
are_impressed_by	promote	are_supplanted_by	boss:subordinate		
are_upstaged_by	"compete_with, condescend_to"	are_supplanted_by	actor:understudy		
overthrow	underestimate	are_suppressed_by	mutineer:authority		
are_challenged_by	run_away_from	are_taunted_by	underdog:bully		
are_snatched_by	"kiss_up_to, lick_up_to, suck_up_to"	are_taunted_by	hostage:abductor		
are_tortured_by	"hate, appeal_to, seek_sympathy_from"	are_taunted_by	slave:oppressor		
are_read_by	"insult, mock, offend"	are_threatened_by	author:reader		
are_snatched_by	"resist, struggle_with"	are_threatened_by	detainee:abductor		
are_despised_by	fear	are_toppled_by	despot:rebel		
are_feared_by	subjugate	are_toppled_by	elitist:commoner		
are_feared_by	"abuse, underestimate"	are_toppled_by	lord:peasant		
are_obeyed_by	overwork	are_toppled_by	bishop:priest		
are_served_by	"exploit, overwork, oppress"	are_toppled_by	aristocrat:peasant		
are_worshipped_by	condescend_to	are_toppled_by	captive:abductor		
are_diagnosed_by	"trust, cede_power_to"	are_treated_by	patient:doctor		
are_snatched_by	"cede_power_to, bow_down_to, curry_favor_with"	are_trusted_by	detainee:abductor		
are_tricked_by	learn_from	are_trusted_by	dupe:scammer		
are_attacked_by	"deceive, trick"	are_underestimated_by	prey:abuser		
are_worshipped_by	"inspire, coach, mentor"	are_unimpressed_by	artist:imitator		
are_copied_by	inspire	are_upstaged_by	luminary:impersonator		
are_flattered_by	"promote, favor"	are_upstaged_by	boss:bootlicker		
are_imitated_by	"inspire, indoctrinate, teach"	are_upstaged_by	artist:copycat		
are_impressed_by	"promote, advise, coach, teach"	are_upstaged_by	king:pawn		
are_represented_by	promote	are_upstaged_by	leader:plenipotentiary		
are_respected_by	inspire	are_upstaged_by	adult:juvenile		
are_supported_by	inspire	are_upstaged_by	actor:understudy		
are_unimpressed_by	"mock, insult, underestimate"	are_upstaged_by	artist:imitator		
are_worshipped_by	"inspire, coach, mentor"	are_upstaged_by	athlete:fan		
are_despised_by	"save, rescue"	are_worshipped_by	politician:voter		
are_feared_by	"save, rescue"	are_worshipped_by	king:pawn		
are_impressed_by	favor	are_worshipped_by	boss:bootlicker		
are_mocked_by	"save, rescue"	are_worshipped_by	victim:bully		
commission	"are_insulted_by, are_challenged_by"	argue_with	patron:architect		
compose_with	"are_disrespected_by, are_insulted_by, are_lectured_by, are_mocked_by"	argue_with	composer:librettist		
criticize	are_lectured_by	argue_with	detractor:rival		
travel_with	are_bored_by	argue_with	companion:traveler		
appease	"are_pushed_too_far_by, are_attacked_by"	attack	appeaser:aggressor		
beg_forgiveness_from	"are_rebuffed_by, are_ignored_by, are_spurned_by"	attack	thief:victim		
debate_with	are_misrepresented_by	attack	pontiff:theologian		
disappoint	"are_denounced_by, are_beaten_by, are_humiliated_by"	attack	underling:boss		
eject	are_threatened_by	attack	bouncer:troublemaker		
negotiate_with	"are_deceived_by, are_disrespected_by, are_unimpressed_with"	attack	enemy:rival		
perform_with	are_upstaged_by	attack	lion_tamer:lion		
seek_forgiveness_from	are_rebuffed_by	attack	double_agent:master		
speak_with	"are_insulted_by, are_disrespected_by"	attack	secretary:caller		
surrender_to	"are_exploited_by, are_cheated_by"	attack	host:parasite		
avoid	are_summoned_by	attend	patient:dentist		
anger	"are_chastised_by,  are_scolded_by, are_humiliated_by"	beg_forgiveness_from	feudatory:emperor		
copy	are_sued_by	beg_forgiveness_from	copycat:artist		
criticize	are_rebuked_by	beg_forgiveness_from	critic:writer		
disappoint	"are_chastised_by, are_scolded_by, are_humiliated_by"	beg_forgiveness_from	underling:boss		
disfigure	"are_disgusted_by, are_cursed_by"	beg_forgiveness_from	stylist:actress		
excommunicate	are_blackmailed_by	beg_forgiveness_from	priest:proselyte		
execute	are_haunted_by	beg_forgiveness_from	executioner:hostage		
fail_to_deliver_for	"are_dismissed_by, are_fired_by"	beg_forgiveness_from	underling:boss		
humiliate	"are_attacked_by, are_denounced_by, are_despised_by"	beg_forgiveness_from	bully:victim		
spread_lies_about	are_sued_by	beg_forgiveness_from	liar:victim		
steal_from	"are_uncovered_by, are_reported_by"	beg_forgiveness_from	thief:victim		
listen_to	"are_energized_by, are_flattered_by"	believe_in	listener:preacher		
observe	are_impressed_by	believe_in	investor:entrepreneur		
pray_to	are_rewarded_by	believe_in	believer:god		
defend	are_deceived_by	betray	attorney:plaintiff		
disappoint	"are_chastised_by, are_scolded_by, are_humiliated_by"	betray	underling:boss		
facilitate	"are_trusted_by, are_respected_by"	betray	abetter:offender		
identify_with	are_corrupted_by	betray	imitator:master		
manipulate	are_trusted_by	betray	charmer:dupe		
marry	are_betrayed_by	betray	bride:husband		
marry	are_bored_by	betray	groom:bride		
protect	"are_disillusioned_by, are_exploited_by, are_deceived_by"	betray	functionary:ruler		
spy_on	are_trusted_by	betray	spy:enemy		
kiss_up_to	"are_ignored_by, are_rebuffed_by"	blackmail	oligarch:politician		
lick_up_to	"are_ignored_by, are_rebuffed_by"	blackmail	oligarch:politician		
observe	"are_disgusted_by, are_shocked_by"	blackmail	blackmailer:victim		
spy_on	"are_disgusted_by, are_shocked_by"	blackmail	blackmailer:victim		
cast_off	are_bought_off_by	bow_down_to	vassal:emperor		
heckle	are_humiliated_by	bow_down_to	heckler:comedian		
subjugate	"are_deposed_by, are_toppled_by"	bow_down_to	chief:inferior		
indoctrinate	"are_trusted_by, are_respected_by, are_obeyed_by, "	brainwash	missionary:convert		
obey	are_bored_by	break_free_of	thrall:controller		
cheat_on	"are_stalked_by, are_caught_by"	break_up_with	adulterer:spouse		
cheat_with	"are_bored_by, are_lectured_by"	break_up_with	mistress:lover		
date	"are_disillusioned_by, are_exploited_by, are_deceived_by"	break_up_with	girlfriend:boy		
are_disillusioned_by	"are_disgusted_by, are_pushed_too_far_by, are_deceived_by"	break_with	demonstrator:radical		
argue_with	are_censured_by	break_with	theologian:pope		
cede_power_to	"are_manipulated_by, are_exploited_by, are_disgusted_by, are_shocked_by"	break_with	proselyte:guru		
follow	"are_cheated_by, are_deceived_by, are_disrespected_by"	break_with	apostle:guru		
grow_suspicious_of	"are_pushed_too_far_by, are_disillusioned_by"	break_with	disciple:guru		
identify_with	are_rebuffed_by	break_with	tormentor:martyr		
lose_faith_in	are_denounced_by	break_with	adorer:god		
propose_to	are_rebuffed_by	break_with	gentleman:lady		
curry_favor_with	"are_ignored_by, are_rebuffed_by"	"buy_off, bribe, blackmail"	oligarch:politician		
kiss_up_to	"are_ignored_by, are_rebuffed_by"	"buy_off, bribe, blackmail"	oligarch:politician		
lick_up_to	"are_ignored_by, are_rebuffed_by"	"buy_off, bribe, blackmail"	oligarch:politician		
admire	"are_disrespected_by, are_spurned_by, are_humiliated_by"	campaign_against	reader:writer		
campaign_for	"are_unimpressed_by, are_ignored_by"	campaign_against	voter:politician		
criticize	are_rebuked_by	campaign_against	critic:writer		
evict	are_sued_by	campaign_against	landlord:boarder		
hate	are_disgusted_by	campaign_against	fascist:communist		
leak_to	are_named_by	campaign_against	spin_doctor:reporter		
perform_for	are_pushed_too_far_by	campaign_against	musician:choreographer		
renounce	"are_punished_by, are_lectured_by"	campaign_against	atheist:god		
resent	"are_criticized_by, are_denounced_by, are_chastised_by, are_silenced_by"	campaign_against	mutineer:tyrant		
satirize	are_silenced_by	campaign_against	satirist:insider		
support	"are_disgusted_by, are_shocked_by"	campaign_against	guide:tourist		
"work_for, labor_for"	"are_appreciated_by, are_respected_by"	sweat_for	laborer:hirer		
sweat_for	"are_abused_by, are_exploited_by, are_mistreated_by, are_underpaid_by, are_underappreciated_by"	campaign_against	laborer:hirer		
vote_for	"are_disillusioned_by, are_exploited_by, are_deceived_by"	campaign_against	supporter:candidate		
campaign_against	"are_blackmailed_by, are_bought_off_by, are_defeated_by"	campaign_for	opponent:rival		
track_down	are_attacked_by	capture	pirate:captive		
marry	are_beaten_by	cast_off	prince:princess		
rise_against	are_feared_by	cast_off	vassal:emperor		
are_eluded_by	lay_a_trap_for	catch	hunter:prey		
lay_a_trap_for	are_underestimated_by	catch	chaser:prey		
search_for	are_underestimated_by	catch	bachelor:wife		
believe_in	are_flattered_by	cede_power_to	spiritualist:medium		
condescend_to	are_humiliated_by	cede_power_to	child:father		
fight_against	are_impressed_by	cede_power_to	god:monster		
educate	are_lectured_by	cede_power_to	parent:child		
fight_against	are_overrun_by	cede_power_to	settler:native		
marry	are_upstaged_by	divorce	mystery_writer:detective		
let_in	"are_exploited_by, are_cheated_by"	cede_power_to	host:cuckoo		
look_up_to	are_manipulated_by	cede_power_to	child:father		
lose_to	are_humiliated_by	cede_power_to	opponent:rival		
overwork	are_upstaged_by	cede_power_to	controller:spy		
play_against	are_defeated_by	cede_power_to	competitor:opponent		
promote	"are_supplanted_by, are_upstaged_by"	cede_power_to	crime_boss:lieutenant		
"hire, enlist, promote"	are_upstaged_by	cede_power_to	appellant:representative		
sacrifice	are_upstaged_by	cede_power_to	character:screenwriter		
snatch	are_seduced_by	cede_power_to	bank_robber:hostage		
speak_through	"are_tricked_by, are_manipulated_by, are_blackmailed_by"	cede_power_to	leader:spokesperson		
supervise	"are_usurped_by,  are_overthrown_by, are_seduced_by, are_blackmailed_by"	cede_power_to	bishop:vicar		
surrender_to	are_humiliated_by	cede_power_to	opponent:rival		
take_up_with	are_manipulated_by	cede_power_to	king:mistress		
talk_through	"are_misrepresented_by, are_mistaken_for"	cede_power_to	defendant:mouthpiece		
are_hired_by	"impress, believe_in"	are_promoted_by	salesman:retailer		
cheat_with	"are_bored_by, are_lectured_by"	cheat_on	mistress:lover		
marry	are_bored_by	cheat_on	adulterer:spouse		
marry	are_bored_by	cheat_on	princess:prince		
supply	are_underpaid_by	cheat_on	wholesaler:dealer		
take_up_with	"are_disrespected_by, are_bored_by"	cheat_on	king:mistress		
observe	are_impressed_by	fall_in_love_with	voter:politician		
"buy_off, bribe, blackmail"	"are_obeyed_by, are_favored_by"	manipulate	oligarch:politician		
negotiate_with	"are_feared_by, are_resisted_by"	coerce	politician:rival		
fall_in_love_with	are_worshipped_by	commit_to	sweetheart:lover		
show_loyalty_to	"are_respected_by, are_rewarded_by"	commit_to	sweetheart:lover		
take_up_with	"are_impressed_by, are_flattered_by"	commit_to	king:mistress		
coach	are_upstaged_by	compete_against	mentor:apprentice		
compete_with	"are_insulted_by, are_challenged_by"	compete_against	foe:fighter		
flirt_with	are_ignored_by	compliment	flatterer:despot		
command	are_driven_mad_by	condemn	commander:soldier		
pray_with	"are_disgusted_by, are_shocked_by"	condemn	believer:coreligionist		
worship_with	"are_disgusted_by, are_shocked_by"	condemn	believer:coreligionist		
advise	"are_disrespected_by, are_underpaid_by, are_spurned_by"	condescend_to	caddy:golfer		
attract	"are_disgusted_by, are_shocked_by"	condescend_to	entertainer:fan		
chat_with	"are_bored_by, are_lectured_by"	condescend_to	interviewee:interviewer		
compete_with	are_bored_by	condescend_to	competitor:opponent		
conquer	are_feared_by	condescend_to	conqueror:vassal		
eject	are_lectured_by	condescend_to	homeowner:house_guest		
entertain	are_heckled_by	condescend_to	jester:king		
"support, help, sympathize_with"	are_thanked_by	condescend_to	benefactor:beneficiary		
ignore	"are_chastised_by,  are_scolded_by"	condescend_to	god:supplicant		
lecture_to	are_ignored_by	condescend_to	instructor:student		
pander_to	"are_disrespected_by, are_underappreciated_by"	condescend_to	marketer:retailer		
play_for	"are_complimented_by, are_heckled_by, are_flattered_by, are_underpaid_by"	condescend_to	musician:listener		
play_with	are_bored_by	condescend_to	bowler:fielder		
reach_out_to	are_disgusted_by	condescend_to	televangelist:sinner		
rule_over	are_resisted_by	condescend_to	conqueror:native		
rule_over	"are_bored_by, are_unimpressed_by"	condescend_to	overlord:lackey		
sell_to	"are_disrespected_by, are_underappreciated_by"	condescend_to	content_provider:subscriber		
speak_to	are_bored_by	condescend_to	eyewitness:reporter		
subjugate	are_worshipped_by	condescend_to	conqueror:native		
sympathize_with	"are_disrespected_by, are_cheated_by, are_lectured_by"	condescend_to	sympathizer:activist		
talk_to	"are_deceived_by, are_bored_by"	condescend_to	investigator:insider		
tip	are_disrespected_by	condescend_to	diner:waiter		
whip	"are_begged_by, are_cursed_by"	condescend_to	dominatrix:john		
woo	are_rebuffed_by	condescend_to	suitor:beauty		
summon	"are_obeyed_by, are_trusted_by"	confer_with	king:envoy		
confer_with	"are_trusted_by, are_manipulated_by"	confide_in	cop:lawyer		
share_stories_with	are_trusted_by	confide_in	confidante:friend		
visit	are_welcomed_by	consult	patient:doctor		
blackmail	are_feared_by	control	oligarch:politician		
entertain	are_worshipped_by	control	comedian:fan		
impress	are_worshipped_by	control	headmaster:student		
assist	"are_inspired_by, are_impressed_by"	copy	staffer:congressman		
diagnose	are_trusted_by	counsel	psychiatrist:patient		
instruct	are_disappointed_by	criticize	sage:follower		
review	"are_unimpressed_by, are_bored_by"	criticize	peer:professional		
operate_on	are_feared_by	cure	surgeon:patient		
assist	are_underpaid_by	curry_favor_with	spotter:archer		
compliment	"are_trusted_by, are_favored_by"	curry_favor_with	flatterer:despot		
rely_on	"are_betrayed_by, are_abandoned_by"	curse	refugee:host		
answer	are_contradicted_by	debate	critic:discussant		
disagree_with	"are_insulted_by, are_challenged_by"	debate	believer:opposer		
deliver_to	are_insulted_by	deceive	messenger:general		
campaign_against	"are_censured_by, are_heckled_by, are_threatened_by"	defeat	opponent:rival		
fight	are_underestimated_by	defeat	caliph:infidel		
suppress	are_resisted_by	defeat	fighter:enemy		
deceive	"are_uncovered_by, are_reported_by"	beg_forgiveness_from	deceiver:believer		
deceive	are_trusted_by	defraud	deceiver:believer		
are_informed_by	are_deceived_by	denounce	listener:lecturer		
debrief	are_deceived_by	denounce	spymaster:spy		
examine	are_deceived_by	denounce	attorney:witness		
inspire	"are_copied_by, are_upstaged_by"	denounce	artist:imitator		
study	are_disillusioned_by	denounce	anthropologist:native		
support	are_betrayed_by	denounce	fanatic:extremist		
recruit	are_impressed_by	deploy	spymaster:spy		
build_for	"are_exploited_by, are_pushed_too_far_by"	destroy	builder:architect		
denounce	are_attacked_by	destroy	denunciator:rival		
favor	"are_exploited_by, are_cheated_by"	destroy	boss:bootlicker		
identify_with	are_corrupted_by	destroy	imitator:master		
spread_lies_about	are_feared_by	destroy	liar:victim		
prey_on	are_feared_by	devour	persecutor:victim		
observe	"are_disgusted_by, are_shocked_by"	diagnose	doctor:patient		
evaluate	are_concerned_about	diagnose	doctor:patient		
believe_in	"are_inspired_by, are_brainwashed_by"	die_for	spiritualist:medium		
curry_favor_with	are_favored_by	die_for	lapdog:imperialist		
defend	are_respected_by	die_for	samurai:warlord		
follow	"are_inspired_by, are_brainwashed_by, are_molded_by"	die_for	apostle:guru		
"learn_from, study_under"	"are_brainwashed_by, are_indoctrinated_by"	die_for	suicide_bomber:imam		
take_up_with	are_manipulated_by	die_for	cheater:mistress		
design_for	are_lectured_by	disagree_with	architect:builder		
obey	"are_disillusioned_by,  are_deceived_by"	disagree_with	Catholic:pope		
confess_to	are_forgiven_by	disappoint	penitent:confessor		
curry_favor_with	are_promoted_by	disappoint	leader:elector		
govern_for	are_pushed_too_far_by	disappoint	satrap:emperor		
govern_for	are_trusted_by	disappoint	viceroy:king		
inherit_from	are_inspired_by	disappoint	heir:landowner		
nurture	are_worshipped_by	disappoint	nursemaid:infant		
serve	are_pushed_too_far_by	disappoint	assistant:boss		
work_for	are_pushed_too_far_by	disappoint	hoodlum:gang_lord		
abuse	are_bitten_by	disfigure	victimizer:victim		
beautify	"are_sued_by, are_disrespected_by, are_underpaid_by"	disfigure	beautician:woman		
enhance	are_disrespected_by	disfigure	beautician:beauty		
operate_on	"are_disrespected_by, are_pushed_too_far_by"	disfigure	plastic_surgeon:celebrity		
pine_for	are_mocked_by	disfigure	sweetheart:lover		
style_for	"are_insulted_by, are_humiliated_by"	disfigure	stylist:actress		
torture	are_cursed_by	disfigure	abuser:detainee		
treat	"are_insulted_by, are_disrespected_by"	disfigure	dentist:patient		
appoint	are_upstaged_by	dismiss	autocrat:propagandist		
dispatch	are_misrepresented_by	dismiss	regulator:inspector		
enlist	are_misrepresented_by	dismiss	commissioner:deputy		
recruit	"are_deceived_by, are_exploited_by, are_unimpressed_with"	dismiss	hirer:hireling		
obey	"are_deceived_by, are_disgusted_by, are_exploited_by"	disobey	priest:bishop		
interview	"are_disgusted_by, are_shocked_by"	disqualify	proposer:applicant		
